gene,RNA,protein,
671,0.048935329,-0.030032692,
672,-0.145291338,-0.216830493,
673,0.141874874,0.609750315,
674,-0.077045917,0.07249533,
675,-0.018042858,-0.30496105,
676,-0.036915497,0.309983965,
677,-0.037937404,-0.075464802,
678,0.119106865,-0.097867329,
679,-0.075966733,-0.058780119,
680,-0.035493081,0.299722491,
681,1.027411871,0,
682,-0.021244296,-0.178515601,
683,-0.326940336,-0.007260123,
684,-0.05688232,-0.034134579,
685,-0.070393064,-0.006089724,
686,-0.014242898,-0.219821251,
687,-0.007677238,0.38903195,
688,-0.000247616,-0.010967439,
689,-0.010470147,0.062997262,
690,0.069733745,0.266033373,
691,-0.170583907,0.220293631,
692,-0.195172965,-0.181046115,
693,-0.080287867,0.312995457,
694,0.006630246,0.058956317,
695,0.171944412,-0.105565443,
696,0.007196456,0.254978858,
697,-0.983195159,0.18997273,
698,0.068556466,-0.192860257,
699,-0.392635495,0.039794907,
700,0.141719162,0.488294355,
701,0.018795236,0.504148441,
702,-0.014538419,-0.113271632,
703,-0.157779589,0.207331893,
704,0.037132559,0.093721353,
705,0.006209984,0.016566741,
706,0.202395335,0.458428291,
707,0.101846295,0.313067802,
708,-0.026785744,0.171078993,
709,-0.181391102,-0.057344739,
710,-0.080395159,-0.170547813,
711,0.249712204,1.757235928,
712,0.302101075,0.602526937,
713,0.00583876,-0.128998441,
714,-0.136684122,-0.048723579,
715,-0.076151691,-0.031786063,
716,-0.103327547,-0.039604109,
717,-0.107523585,0.447565227,
718,-0.060155385,-0.145878105,
719,0.031482641,0.401411841,
720,-0.066833853,0.048114397,
721,-0.019943136,0.339816613,
722,0.295775185,-0.022342882,
723,-0.092785657,-0.219554113,
724,0.021328794,-0.059969879,
725,-0.140756175,0.200139462,
726,-0.012263605,-0.04138772,
727,0.007929359,-0.20810746,
728,0.162630244,-0.148634248,
729,0.046466831,0.115830921,
730,-0.182537376,0.061254885,
731,-0.141063276,0.012511013,
732,-0.054922462,-0.083299237,
733,0.045268214,0.588104128,
734,0.026521636,-0.099668157,
735,-0.049505714,0.185764124,
736,0.012719916,0.228692379,
737,0.069490422,0.294964983,
738,-0.06147403,0.08257806,
739,0.067104881,0.087886494,
740,-0.021356651,0.00607618,
741,-0.089156899,-1.771413519,
742,-0.245645539,-0.116404974,
743,-0.024134591,0.006981901,
744,-0.09546332,-0.178304356,
745,0.063610562,0.304749041,
746,0.101073612,0.228763042,
747,0.193276385,0.984181006,
748,-0.182026354,-3.542048424,
749,0.004927988,-0.137398037,
750,0.197916616,0.01989205,
751,0.194040966,0.088460793,
752,-0.050865905,-0.105364176,
753,-0.032147579,-0.249745607,
754,-0.020678431,-0.216129635,
755,-0.03685635,-0.08536558,
756,-0.080739191,-0.345337032,
757,-0.147833946,-0.044260766,
758,0.154749465,0.047882276,
759,-0.04324125,-0.018221218,
760,0.001900589,0.184634134,
761,-0.030068397,-0.404331059,
762,-0.006164776,-0.102873537,
763,0.030665622,-0.033051155,
764,0.014235817,-0.011258878,
765,-0.28604366,-0.09099362,
766,-0.034747555,0.248274788,
767,0.137105345,0,
768,-0.231231305,0.124340283,
769,-0.208353286,0.009844413,
770,0.125516877,0.122717664,
771,0.118927104,0.122717664,
772,0.069660571,-0.191309915,
773,0.076702798,0.235526131,
774,0.075305703,-0.184542369,
775,-0.076131769,-0.167817674,
776,-0.017241606,0.142293541,
777,-0.020833331,-0.259393578,
778,0.109682699,-0.088240629,
779,-0.094017574,-0.283270118,
780,0.342525821,0.700298618,
781,-0.077417558,-0.030355253,
782,0.143033271,0.325523562,
783,-0.164915401,-0.016467751,
784,0.063398057,-0.044581291,
785,0.132534018,-0.113191075,
786,-0.057817468,0.384130696,
787,-0.014444989,-0.05300855,
788,-0.051794947,-0.228901086,
789,-0.025726693,-0.008882371,
790,0.1413653,0.072636248,
791,0.114666176,-0.170977491,
792,0.050036632,-0.23615263,
793,-0.05842892,0.299927999,
794,-0.144987796,-0.374946839,
795,-0.152266845,-0.06179901,
796,-0.013905791,0.285438895,
797,-0.091303083,-0.193613266,
798,-0.021235547,-0.008695727,
799,0.028635485,-0.163854418,
800,-0.005909833,-0.17589227,
801,0.045983961,0.167068723,
802,-0.025315418,-0.293497508,
803,-0.014331947,0.007254962,
804,0.086318397,-0.010244928,
805,0.032027296,0.296856439,
806,0.013405864,0.150092094,
807,-0.047528389,-0.174433466,
808,0.22892977,-0.091059861,
809,0.052756361,0.052115212,
810,-0.002690442,0.2351929,
811,0.101346308,0.138101621,
812,0.045812505,0.067836643,
813,0.15516971,0.319375144,
814,0.068155157,-0.300440296,
815,-0.036105072,0.123591185,
816,-0.101294066,-0.024794174,
817,0.089577865,0.08501254,
818,0.01250878,-0.226173413,
819,-0.012027018,0.340820159,
820,0.149645444,-0.243272845,
821,0.07450149,-0.361004879,
822,0.061339481,-0.004828182,
823,-0.041135354,0.036252544,
824,-0.010843671,-0.082482368,
825,0.047549723,0.418634381,
826,-0.07848892,-0.251765978,
827,0.083595022,-0.122667797,
828,-0.06131094,-0.001108826,
829,0.03803896,-0.126265,
830,0.012920469,-0.127630225,
831,-0.440242199,-0.217827471,
832,0.144935012,0.475525385,
833,0.104549733,-0.228647258,
834,0.100262294,0.788234058,
835,-0.029358758,0.000975567,
836,0.253080028,0.072462867,
837,-0.071597244,-0.000911432,
838,-0.025683974,0.416142124,
839,0.003858205,0.306520517,
840,0.044611395,0.318526194,
841,-0.093989344,-0.042155128,
842,0.149808518,1.567412197,
843,-0.251748634,-0.435768057,
844,0.03404341,0.182209679,
845,-0.066232298,0.495026804,
846,0.239310506,0.872194431,
847,-0.044524283,-0.398445497,
848,-0.183710497,-0.2005628,
849,-0.107850075,-0.107895634,
850,0.155739889,0.220711979,
851,-0.098399738,0.410937458,
852,-0.621070447,0.635775864,
853,0.207106244,0.801950958,
854,-0.032703919,0.147595721,
855,0.141944068,-0.026999328,
856,-0.127495308,-0.142520195,
857,-0.064599587,-0.160530259,
858,-0.172579339,-0.170734888,
859,-0.21198793,-0.167143239,
