Gene names,ratio,P
RPL19,1.291079594,0.219433821
GMPPB,1.016278156,0.747854119
SYNCRIP,0.931392438,0.048552583
PITRM1,1.000477027,0.751172171
WASH6P;WASH4P,1.033861412,0.599150501
ABHD17A;ABHD17C,1.037372,0.765334607
PRPF40A,1.107296154,0.179657621
MRPS22,1.040936671,0.145840415
ARFGEF2,1.036184963,0.120667097
PIP5K1C,1.017038516,0.871065466
VRK1,0.99975722,0.954671457
IFIT3,3.483331019,2.07085E-05
AATF,0.997879672,0.556719808
C1orf174,0.924106263,0.061615184
DST,0.918204918,0.637552426
AKAP8,1.050373675,0.187426235
SLC15A3,1.126843718,0.319794777
HDAC9,0.869461076,0.348087406
AAR2,1.044720612,0.558892762
FAM126A,0.994595004,0.796509133
TCERG1,0.972635157,0.071647335
LRRK2,1.025694432,0.819439471
SNX9,1.050198918,0.171928762
NOTCH1,0.975492205,0.572638543
DDX60,1.537720044,7.1172E-05
DTNA;DTNB,0.971138874,0.459429846
ALG5,1.063039056,0.382552064
SIRT5,0.872243453,0.839962525
CARKD,1.09406066,0.062577645
ERCC6,0.967301515,0.419172296
NAMPT,1.180973253,0.005988377
OAS3,1.755777764,0.000793785
SMPD4,0.928261346,0.261165252
CIC,0.982094293,0.06432978
DDX20,0.99631089,0.629935091
SEPSECS,0.999841621,0.730017059
P4HB,1.115476954,0.007113135
ACSL3,1.046311892,0.510251956
HTT,0.963409135,0.156457255
BSG,0.981900187,0.616347694
VPS53,0.959858701,0.051481458
AKAP8L,0.970148233,0.271264985
CANX,0.981999105,0.336296541
DLAT,0.997947099,0.735227454
KMT2C,0.844735295,0.030824327
SLC3A2,1.000209304,0.690223709
CTSS,1.148447035,0.044913372
DNAJC10,1.020405233,0.702572602
CRAT,1.010210945,0.955655916
ANTXR2,1.178350938,0.054121378
MTO1,0.887619211,0.598139828
ANO6,1.062816008,0.122605097
,0.867038024,0.366470227
OAS1,1.800931322,6.35655E-06
MB21D1,0.975867053,0.841390827
DBT,1.097306305,0.093872642
PPIB,1.06087562,0.060986989
MICALL1,1.017103614,0.857601535
PPP2R4,0.984666695,0.430752297
,1.024957247,0.683934297
WDR91,0.993962371,0.324986404
STAMBP,1.301292833,0.007373314
TBCD,0.93820219,0.038430012
DHCR7,0.929567694,0.184496906
GNPTG,0.931166328,0.127255798
SLC25A25,0.993485245,0.680654964
GLE1,1.044211827,0.681946286
FHAD1,0.912198676,0.259410244
SPG11,1.113730726,0.220928802
LRPPRC,0.956437472,0.139768937
SACS,0.996444427,0.833668686
FAM126B,0.983897755,0.595504985
TUBGCP2,0.982801152,0.363707296
MLLT4,0.945864615,0.50561287
MCCC2,1.095848621,0.000406543
MAN1B1,0.957076596,0.357576657
UBA5,0.984972988,0.756940264
CLCNKB,2.057084541,0.022417006
TACO1,0.993846276,0.918116653
ZNF362;ZNF384,0.803618469,0.26927968
CLASP2,0.970093892,0.308876048
ALG1,0.960785052,0.26623689
AKT1,0.999242275,0.828624937
TLK2,1.003439879,0.938754402
HECTD4,1.0089516,0.979860301
ETFDH,1.001649349,0.676431981
MED20,1.059013089,0.510304265
ZCWPW1,0.896201591,0.926865972
ERCC2,0.88160299,0.110424859
FBXO11,0.953984974,0.469957757
HSD17B4,1.013521067,0.748975018
,1.007401777,0.898011345
PPFIBP2,1.136693079,0.036510895
RABGAP1L,1.014092465,0.628788175
,1.01883849,0.663200141
